q_type	len_type	user	expUserID	game_type	usr_type	duration	id	game_id	slang	tlang	score	task_num	slack	total	divref0	divref1	divref2	divsrc0	divsrc1	divsrc2	divtrn0	divref-divref	divref-divsrc	divref-divtrn	divsrc-divref	divsrc-divsrc	divsrc-divtrn	divtrn-divref	divtrn-divsrc	divtrn-divtrn
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	1	3.57	31.71	0.00	0.00	0.00	0.43	3.94	0.00	27.34	0	0	0	0	71	2	0	2	131
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	2	5.37	16.32	0.00	0.00	0.00	0.00	4.10	3.10	9.13	0	0	0	0	44	2	0	1	129
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	3	7.18	39.43	0.00	0.00	0.00	0.93	3.26	2.33	32.91	0	0	0	0	168	1	0	0	547
max	short	user1	1	src	no	20.94	985	1_127	es	en	89	4	12.38	8.56	0.00	0.00	0.00	0.00	0.00	2.13	6.43	0	0	0	0	43	1	0	1	0
max	short	user1	1	src	no	18.23	1134	1_127	es	en	82	5	16.23	2.00	0.00	0.00	0.00	0.00	0.50	0.87	0.63	0	0	0	0	24	0	0	1	5
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	6	5.51	26.81	0.00	0.00	0.00	0.00	4.50	0.07	22.25	0	0	0	0	104	3	0	3	46
max	mid	user1	1	src	no	28.50	2415	1_127	es	en	55	7	8.15	20.35	0.00	0.00	0.00	2.40	4.33	1.07	12.55	0	0	0	0	126	2	0	3	41
max	short	user1	1	src	no	15.16	2841	1_127	es	en	92	8	6.97	8.19	0.00	0.00	0.00	0.00	0.90	7.30	0.00	0	0	0	0	189	0	0	0	0
max	mid	user1	1	src	no	25.78	1332	1_127	es	en	54	9	6.03	19.75	0.00	0.00	0.00	0.00	2.33	4.26	13.15	0	0	0	0	91	2	0	2	245
max	mid	user1	1	src	no	22.05	2790	1_127	es	en	54	10	12.43	9.62	0.00	0.00	0.00	0.00	2.80	0.00	6.82	0	0	0	0	57	1	0	2	77
min	short	user1	1	src	no	23.42	342	1_127	es	en	20	11	2.87	20.55	0.00	0.00	0.00	1.30	1.26	17.16	0.83	0	0	0	0	316	1	0	1	0
min	long	user1	1	src	no	55.71	86	1_127	es	en	29	12	3.16	52.55	0.00	0.00	0.00	0.00	7.19	0.00	45.36	0	0	0	0	141	2	0	2	597
