q_type	len_type	user	expUserID	game_type	usr_type	duration	id	game_id	slang	tlang	score	seq	region	region2	time
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	0	start	divsrc0	0.000000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	1	divsrc0	divsrc1	0.400000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	2	divsrc1	divsrc1	1.765000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	3	divsrc1	divtrn0	0.233000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	4	divtrn0	divtrn0	2.263000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	5	divtrn0	divtrn0	0.233000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	6	divtrn0	divtrn0	0.333000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	7	divtrn0	divtrn0	0.200000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	8	divtrn0	divtrn0	0.367000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	9	divtrn0	divsrc1	0.233000
max	long	user1	1	src	no	35.28	154	1_127	es	en	42	10	divsrc1	end	0.200000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	0	start	divsrc1	0.000000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	1	divsrc1	divsrc1	0.200000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	2	divsrc1	divtrn0	0.200000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	3	divtrn0	divtrn0	0.266000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	4	divtrn0	divtrn0	1.099000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	5	divtrn0	divtrn0	0.335000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	6	divtrn0	divtrn0	0.466000
max	long	user1	1	src	no	21.69	2758	1_127	es	en	78	7	divtrn0	end	0.233000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	0	start	divsrc1	0.000000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	1	divsrc1	divsrc1	0.499000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	2	divsrc1	divsrc1	0.266000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	3	divsrc1	divsrc1	0.200000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	4	divsrc1	divsrc2	0.300000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	5	divsrc2	divtrn0	0.298000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	6	divtrn0	divtrn0	0.566000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	7	divtrn0	divtrn0	0.899000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	8	divtrn0	divtrn0	0.333000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	9	divtrn0	divtrn0	0.566000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	10	divtrn0	divtrn0	0.466000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	11	divtrn0	divtrn0	1.033000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	12	divtrn0	divtrn0	0.300000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	13	divtrn0	divtrn0	0.400000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	14	divtrn0	divtrn0	0.200000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	15	divtrn0	divtrn0	0.333000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	16	divtrn0	divtrn0	1.099000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	17	divtrn0	divtrn0	0.529000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	18	divtrn0	divtrn0	0.366000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	19	divtrn0	divtrn0	0.200000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	20	divtrn0	divtrn0	0.366000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	21	divtrn0	divtrn0	0.600000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	22	divtrn0	divtrn0	0.366000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	23	divtrn0	divtrn0	0.366000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	24	divtrn0	divtrn0	0.233000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	25	divtrn0	divtrn0	0.201000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	26	divtrn0	divtrn0	0.500000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	27	divtrn0	divtrn0	0.471000
max	long	user1	1	src	no	46.61	2126	1_127	es	en	56	28	divtrn0	end	0.200000
max	short	user1	1	src	no	20.94	985	1_127	es	en	89	0	start	divsrc2	0.000000
max	short	user1	1	src	no	20.94	985	1_127	es	en	89	1	divsrc2	divsrc2	0.734000
max	short	user1	1	src	no	20.94	985	1_127	es	en	89	2	divsrc2	end	0.334000
max	short	user1	1	src	no	18.23	1134	1_127	es	en	82	0	start	divsrc2	0.000000
max	short	user1	1	src	no	18.23	1134	1_127	es	en	82	1	divsrc2	divsrc1	0.300000
max	short	user1	1	src	no	18.23	1134	1_127	es	en	82	2	divsrc1	end	0.201000
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	0	start	divsrc1	0.000000
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	1	divsrc1	divsrc1	8.461000
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	2	divsrc1	divtrn0	0.200000
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	3	divtrn0	divsrc1	0.333000
max	mid	user1	1	src	no	32.32	1330	1_127	es	en	74	4	divsrc1	end	0.266000
max	mid	user1	1	src	no	28.50	2415	1_127	es	en	55	0	start	divtrn0	0.000000
